target,layer,process,split_type,split_name,descriptor_family,model,best_cv_score,best_params,n_trials,status
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,rf,0.7150519919792829,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,lgbm,0.6986441855182203,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,ridge,0.5468997153586668,"{""alpha"": 0.002231010801867922}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,rf,0.749757517764519,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,lgbm,0.7414156007336401,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,ridge,0.3942556633485921,"{""alpha"": 0.1767016940294795}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,rf,0.38458550486953025,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,lgbm,0.3891349044573663,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,ridge,0.6185576244408688,"{""alpha"": 0.1767016940294795}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,rf,0.7978568928791747,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,lgbm,0.7923629465585742,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,ridge,0.5095690288525045,"{""alpha"": 0.1767016940294795}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,rf,0.7457205981653983,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,lgbm,0.749686573120977,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,ridge,0.7297432848946369,"{""alpha"": 0.1767016940294795}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,rf,0.8917725889188454,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,lgbm,0.9153581421070381,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_N2_0.075bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,ridge,0.24337595188060634,"{""alpha"": 506.1576888752306}",10,ok
